Tweet_ID,Formatted_Text
978638710970486000,Why is @paytm denying to verify my kyc? @Paytmcare @PaytmBank
978619164960043000,My First transition of @PaytmBank #debitcard Happy to used...  Thnx to @vijayshekhar https://t.co/A3gwNPwTWd
978569791182069000,@Paytm Not able to send money to PayTm account event sender and receiver both are verified user of PayTm.… https://t.co/oBQBGZF6bU
978545427325714000,Though it has been more than 48hrs and after series of pathetic Customercare calls also money deducted from my acco… https://t.co/tsRTDi4CSg
978534399330283000,@Zomato @ZomatoIN Hello Team. Just installed your app. Couple of things:  1. Couldn't find UPI as payment method. 2… https://t.co/iJkUTm2BVP
978295512993419000,Why @TheOfficialSBI  is Not listed here for Net Banking. @PaytmBank @Paytm @vijayshekhar @Paytmcare https://t.co/QdmJtLt9Id
978246602648252000,This is not done @PaytmBank @Paytm @Paytmcare when my friend transfers money from paytm wallet to paytm payment ban… https://t.co/5bZoiCnnEp
978236393196437000,Hi @Paytm @PaytmBank @Paytmcare @paytmbankcare  Please find another issue with this transaction.  I have transfered… https://t.co/kp0JqFWNNY
978128606454042000,How many times i request you to solve my KYC problem i hav complete it on 12th march nd still not working. Now plz… https://t.co/DfOU4p6nQa
978116032752594000,"Hi, problem not getting solved.  Problem: Already had Kyc done on my old no.( Not in use) How to get done Kyc on my… https://t.co/TtrYUdm7Rs"
978105445721272000,"After all, my Paytm debit card came today.@PaytmBank https://t.co/GSsMeCkm5h"
978001643768709000,Thank you #Paytm for pushing me for my first tweet. Regardless of many complaints & queries not getting my cashback… https://t.co/60VxRBls57
977977131496964000,"Ref. No.02965394 has not yet solved very poor services, there is no attention to the basic requirements of the cust… https://t.co/maY41D28R4"
977892316923883000,sir i am received rs 3000 massage  from omprakash meena via phonepe into your paytm payments bank . but not receive… https://t.co/Tp5ML6rPtV
977866306471968000,@Paytm @Paytmcare @PaytmBank @paytmbankcare @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/5BsnPFAhrM
977837480299941000,"Yeahh finally got India’s most sincere Bank’s ATM card  #PayTmKaATM   Mera desh badal raha hai, aage bad raha hai… https://t.co/oel0EJOH9W"
977831816152281000,@Paytm @Paytmcare @PaytmBank @paytmbankcare @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/Bw2AqoOvDC
977831481547608000,Please solve Reference No.: 57277977. Cash back not received after completion of kyc. Very pathetic. @Paytmcare @PaytmBank @vijayshekhar
977781089316950000,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/hsqdGqjvJc
977769214650937000,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/pVokQDnnEQ
977766023435763000,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/jj0w6GN3m0
977761780268019000,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/vzzKFPSqAf
977759034852847000,Yiiieeeeee.. Aa Gaya.!! I was waiting for it. Excited to use. #PayTmKaATM Thank You.!  @vijayshekhar @Paytm… https://t.co/Yycvq0ivKo
